sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
B28532GW18DD001,Diamond bracelet in 18k white gold,222735,bracelets,draft,closed,5000,instock,simple
B33964GW18SA001,Sapphire diamond bracelet in 18k white gold,222440,bracelets,draft,closed,5000,instock,simple
B33965GW18DD001,Diamond bracelet in 18k white gold,222440,bracelets,draft,closed,5000,instock,simple
E28533GW18DD001,Diamond earrings in 18k white gold,222735,earrings,draft,closed,5000,instock,simple
E28534GW18DD001,Diamond earrings in 18k white gold,222735,earrings,draft,closed,5000,instock,simple
E28539GW18DD001,Diamond earrings in 18k white gold,222820,earrings,draft,closed,5000,instock,simple
N28535GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
N28536GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
N28537GA18DD001,Diamond necklace in two tone 18k gold,222820,necklaces,draft,closed,5000,instock,simple
N28538GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
N28539GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
P28533GW18DD001,Diamond necklace in 18k white gold,222735,necklaces,draft,closed,5000,instock,simple
P28534GW18DD001,Diamond necklace in 18k white gold,222735,necklaces,draft,closed,5000,instock,simple
P28534GW18DD001,Diamond necklace in 18k white gold,222735,necklaces,draft,closed,5000,instock,simple
R28531GW18DD001,Diamond ring in 18k white gold,222735,rings,draft,closed,5000,instock,simple
R28533GW18DD001,Diamond ring in 18k white gold,222735,rings,draft,closed,5000,instock,simple
R28534GW18DD001,Diamond ring in 18k white gold,222735,rings,draft,closed,5000,instock,simple
R28536GW18DD001,Diamond ring in 18k white gold,222820,rings,draft,closed,5000,instock,simple
R28537GA18DD001,Diamond ring in two tone 18k gold,222820,rings,draft,closed,5000,instock,simple
R28538GW18DD001,Diamond ring in 18k white gold,222820,rings,draft,closed,5000,instock,simple
R28539GW18DD001,Diamond ring in 18k white gold,222820,rings,draft,closed,5000,instock,simple
