sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
P28586,Waterfall Diamond Pendant in 18K Gold,,,draft,500,,instock,,no,,,simple,,"224201, Waterfall"
E28586,Waterfall Diamond Earrings in 18K Gold,,,draft,500,,instock,,no,,,simple,,"224202, Waterfall"
P28587,Waterfall Diamond Pendant in Two Tone 18K Gold,,,draft,500,,instock,,no,,,simple,,"224203, Waterfall"
E28587,Waterfall Diamond Earrings in Two Tone 18K Gold,,,draft,500,,instock,,no,,,simple,,"224204, Waterfall"
N28588,Waterfall Diamond Pendant in 18K Gold,,,draft,500,,instock,,no,,,simple,,"224205, Waterfall"
E28588,Waterfall Diamond Earrings in 18K Gold,,,draft,500,,instock,,no,,,,,"224206, Waterfall"
N28589,Waterfall Diamond Necklace in 18K Gold,,,draft,500,,instock,,no,,,,,"224207, Waterfall"
E28589,Waterfall Diamond Earrings in 18K Gold,,,draft,500,,instock,,no,,,,,"224208, Waterfall"
E28596,Waterfall Diamond Earrings in Two Tone 18K Gold,,,draft,500,,instock,,no,,,,,"224209, Waterfall"
P28596,Waterfall Diamond Pendant in Two Tone 18K Gold,,,draft,500,,instock,,no,,,,,"224210, Waterfall"
E28597,Waterfall Ombr? Diamond Earrings in Two Tone 18K Gold,,,draft,500,,instock,,no,,,,,"224211, Waterfall"
P28597,Waterfall Ombr? Diamond Pendant in Two Tone 18K Gold,,,draft,500,,instock,,no,,,,,"224212, Waterfall"
E28600,Waterfall Diamond Earrings in 18K Gold,,,draft,500,,instock,,no,,,,,"224213, Waterfall"
P28600,Waterfall Diamond Necklace in 18K Gold,,,draft,500,,instock,,no,,,,,"224214, Waterfall"
P28601,Waterfall Diamond Brooch in Two Tone 18K Gold,,,draft,500,,instock,,no,,,,,"224215, Waterfall"
,,,,,,,,,,,,,,
