sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
B28431GA18DD001,Diamond bracelet in two tone 18k gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28432GW18DD001,Diamond bracelet in 18k white gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28433GW18DD001,Diamond bracelet in 18k white gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28434KP18DD001,Diamond bracelet in 18k rose gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28435GW18DD001,Diamond bracelet in 18k white gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28436GA18DD001,Diamond bracelet in two tone 18k gold,222269,"bracelets, link",draft,closed,5000,instock,simple
B28437KP18DD001,Diamond bracelet in 18k rose gold,222269,"bracelets, link",draft,closed,5000,instock,simple
E28432GW18DD001,Diamond earrings in 18k white gold,222269,"earrings, link",draft,closed,5000,instock,simple
E28433GW18DD001,Diamond earrings in 18k white gold,222269,"earrings, link",draft,closed,5000,instock,simple
E28435GW18DD001,Diamond earrings in 18k white gold,222269,"earrings, link",draft,closed,5000,instock,simple
E28436GA18DD001,Diamond earrings in two tone 18k gold,222269,"earrings, link",draft,closed,5000,instock,simple
E28437KP18DD001,Diamond earrings in 18k rose gold,222269,"earrings, link",draft,closed,5000,instock,simple
N28431GA18DD001,Diamond necklace in two tone 18k gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
N28432GW18DD001,Diamond necklace in 18k white gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
N28433GW18DD001,Diamond necklace in 18k white gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
N28434KP18DD001,Diamond necklace in 18k rose gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
N28436GA18DD001,Diamond necklace in two tone 18k gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
N28437KP18DD001,Diamond necklace in 18k rose gold,222269,"Necklaces, link",draft,closed,5000,instock,simple
R28434KP18DD001,Diamond ring in 18k rose gold,222269,"Rings, link",draft,closed,5000,instock,simple
R28435GW18DD001,Diamond ring in two tone 18k gold,222269,"Rings, link",draft,closed,5000,instock,simple
R28436GA18DD001,Diamond ring in two tone 18k gold,222269,"Rings, link",draft,closed,5000,instock,simple
R28437KP18DD001,Diamond ring in 18k rose gold,222269,"Rings, link",draft,closed,5000,instock,simple
