sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
B28524GA18DD001,Diamond bracelet in two tone 18k gold,222687,bracelets,draft,closed,5000,instock,simple
B28525KY18DD001,Diamond bracelet in 18k gold,222687,bracelets,draft,closed,5000,instock,simple
E28539GW18DD001,Diamond earrings in 18k white gold,222820,earrings,draft,closed,5000,instock,simple
E28545GW18DD001,Diamond earrings in 18k white gold,222819,earrings,draft,closed,5000,instock,simple
N28524GA18DD001,Diamond necklace in two tone 18k gold,222687,necklaces,draft,closed,5000,instock,simple
N28535GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
N28536GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
N28539GW18DD001,Diamond necklace in 18k white gold,222820,necklaces,draft,closed,5000,instock,simple
P28525KY18DD001,Diamond necklace in 18k gold,222687,necklaces,draft,closed,5000,instock,simple
P28526KP18DD001,Diamond necklace in 18k rose gold,222687,necklaces,draft,closed,5000,instock,simple
P28572GW18RB001,Ruby diamond necklace in 18k white gold,23106,necklaces,draft,closed,5000,instock,simple
R28474GC18DD001,Diamond ring in two tone 18k gold,JI221035,rings,draft,closed,5000,instock,simple
R28504KY18V01001,Diamond ring in 18k gold,222569,rings,draft,closed,5000,instock,simple
R40328KP18SA001,Sapphire diamond ring in 18k rose gold,222529,rings,draft,closed,5000,instock,simple
