sku,post_title,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
E28402GW18SA001,Sapphire earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28518KY18DD001,Diamond earrings in 18k yellow gold,earrings,draft,closed,5000,instock,simple
E28520GW18DD001,Baguette diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
E28521GW18DD001,Circle Baguette diamond earrings in 18k white gold,earrings,draft,closed,5000,instock,simple
N28402GW18SA001,Sapphire diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
N28455GW18V01001,Sapphire aquamarine diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28404GW18V01001,Hotair ballon necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28519GW18DD001,Baguette diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
P28534GW18DD001,Open circle diamond necklace in 18k white gold,Necklaces,draft,closed,5000,instock,simple
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
